ppt,name,laa,outdoor_time,wellbeing,density
ID33,Talia MacKenzie,Glasgow City,15,23,3581
ID34,Cassie Chapman,West Lothian,22,40,421
ID35,Abbie Craig,Midlothian,21,54,258
ID36,Sara Christie,Na h-Eileanan Siar,16,64,15
ID37,Nicola Sturgeon,City of Edinburgh,18,46,1958
ID38,Alexandra Nicol,Shetland Islands,25,64,12
ID39,Lyle Reid,Midlothian,6,42,258
ID4,Louisa Evans,East Ayrshire,7,37,96
ID40,Seth Murdoch,Angus,8,31,48
ID41,Daisy Leslie,Highland,9,46,10
ID42,Ollie Mills,East Renfrewshire,21,45,536
ID43,Jamie Hill,City of Edinburgh,5,50,1958
ID44,Emilia O'Brien,West Lothian,24,22,421
ID45,Ruairidh Nicol,Glasgow City,26,23,3581
ID46,Groundskeeper Willie,Scottish Borders,33,35,29
ID47,Harley Taylor,East Renfrewshire,15,49,536
ID48,Carmen Martin,Dumfries and Galloway,13,36,19
ID49,Maddison Duffy,Na h-Eileanan Siar,12,63,15
ID5,Mark Nicolson,West Lothian,9,36,421
ID50,Edie Hunter,Argyll and Bute,19,40,13
ID51,Elliott Downie,Orkney Islands,4,38,22
ID52,Archie Robinson,Scottish Borders,16,41,29
ID53,Alana Hay,West Dunbartonshire,14,34,566
ID54,Cali Jack,Glasgow City,7,23,3581
ID55,Rudi Sharp,West Dunbartonshire,20,31,566
ID56,Ellis MacPherson,City of Edinburgh,15,47,1958
ID57,Brodie Brown,Orkney Islands,20,48,22
ID58,Nathaniel Cochrane,Highland,29,54,10
ID59,Ellen Nicolson,Orkney Islands,17,48,22
ID6,Nora Johnson,Moray,18,43,44
ID60,Fern Shaw,Na h-Eileanan Siar,34,70,15
ID61,Piper Roberts,Angus,0,31,48
ID62,Toby Stuart,Orkney Islands,12,38,22
ID63,Archer McKenzie,City of Edinburgh,18,65,1958
ID64,Darcie Armstrong,Shetland Islands,24,57,12
ID65,Rose Knox,Midlothian,17,52,258
ID66,Ella McKay,West Lothian,20,30,421
ID67,Sonny Gordon,Dumfries and Galloway,19,40,19
ID68,Violet MacFarlane,East Renfrewshire,1,39,536
ID69,Kieran Mullen,Na h-Eileanan Siar,21,67,15
ID7,Dexter Parker,Angus,16,39,48
ID70,Zayn MacMillan,Inverclyde,13,39,480
ID71,Millie Main,Orkney Islands,23,45,22
ID72,Declan Ramsay,Midlothian,7,45,258
ID73,Scarlett Crawford,Stirling,13,47,41
ID74,Alicia Cook,Stirling,15,49,41
ID75,Lillie Lewis,Highland,14,55,10
ID76,Elle O'Donnell,East Ayrshire,12,22,96
ID77,Harley Clarke,Perth and Kinross,19,53,31
ID78,Dominik Cairns,Inverclyde,0,31,480
ID79,Norah Shepherd,City of Edinburgh,14,51,1958
ID8,Taylor McNeill,Glasgow City,26,16,3581
ID80,Harris Thomas,Moray,23,48,44
ID81,Alba MacLean,Angus,19,40,48
ID82,Lincoln Knox,West Dunbartonshire,16,31,566
ID83,Annabel Campbell,Shetland Islands,25,58,12
ID84,Jude Park,East Ayrshire,14,38,96
ID85,Orlaith Findlay,Perth and Kinross,15,54,31
ID86,Flynn McMahon,Perth and Kinross,14,47,31
ID87,Peter McLaren,Glasgow City,21,22,3581
ID88,Lyall Fleming,Shetland Islands,19,53,12
ID89,Joey Nicholson,Dumfries and Galloway,16,31,19
ID9,Lexi MacMillan,Falkirk,19,26,526
ID90,Lena Dunlop,Stirling,13,55,41
ID91,Darcy Boyd,Perth and Kinross,13,44,31
ID92,River Boyle,Dumfries and Galloway,19,42,19
ID93,Sam Law,West Lothian,28,32,421
ID94,Nora Foster,Stirling,11,47,41
ID95,Hugo Thomas,Moray,21,40,44
ID96,Lilly Hamilton,City of Edinburgh,5,60,1958
ID97,Jackson Cochrane,West Dunbartonshire,16,22,566
ID98,Cody Young,Angus,12,34,48
ID99,Paige Lewis,Highland,16,56,10
